,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
82,1,13.863636363636363,5.409090909090909,6.409090909090909,20.272727272727273,0.045454545454545456,0.045454545454545456,0.0,2.4545454545454546,6.136363636363637,1.9090909090909092,0.9545454545454546,3.3636363636363638,0.5909090909090909,1.2272727272727273,0.09090909090909091,5.409090909090909,12.045454545454545,0.7727272727272727,0.045454545454545456,3.3181818181818183,0.045454545454545456,0.13636363636363635
84,1,11.045454545454545,5.636363636363637,9.136363636363637,20.181818181818183,1.1818181818181819,0.6363636363636364,0.0,4.181818181818182,0.6363636363636364,3.8636363636363638,1.9545454545454546,2.9545454545454546,2.0,0.5,0.045454545454545456,8.0,12.545454545454545,0.4090909090909091,0.9090909090909091,1.0,0.2727272727272727,0.6363636363636364
85,1,12.5,3.95,9.65,22.15,0.5,0.45,0.0,3.75,1.0,3.3,3.7,2.8,1.45,0.75,0.15,8.75,13.1,0.2,0.45,1.1,1.05,0.8
87,1,12.409090909090908,4.318181818181818,7.7272727272727275,20.136363636363637,0.36363636363636365,0.3181818181818182,0.0,3.5,1.8181818181818181,4.818181818181818,4.363636363636363,3.0454545454545454,1.1818181818181819,0.7727272727272727,0.22727272727272727,9.772727272727273,11.045454545454545,0.2727272727272727,0.13636363636363635,1.5909090909090908,0.09090909090909091,0.5454545454545454
88,1,10.652173913043478,3.652173913043478,8.478260869565217,19.130434782608695,0.4782608695652174,0.30434782608695654,0.0,2.260869565217391,2.4782608695652173,3.0,1.3478260869565217,3.4347826086956523,0.9565217391304348,1.2608695652173914,0.2608695652173913,6.826086956521739,11.652173913043478,0.13043478260869565,0.391304347826087,2.4782608695652173,0.21739130434782608,0.2608695652173913
89,1,12.571428571428571,4.761904761904762,8.380952380952381,20.952380952380953,0.2857142857142857,0.19047619047619047,0.0,1.7619047619047619,2.380952380952381,2.380952380952381,0.8571428571428571,3.2857142857142856,0.42857142857142855,1.0952380952380953,0.19047619047619047,4.761904761904762,15.333333333333334,0.047619047619047616,0.19047619047619047,1.5714285714285714,0.9523809523809523,0.5238095238095238
91,1,14.681818181818182,5.7727272727272725,5.181818181818182,19.863636363636363,0.2727272727272727,0.4090909090909091,0.0,2.909090909090909,2.272727272727273,4.2727272727272725,2.5,3.772727272727273,0.6818181818181818,1.4090909090909092,0.22727272727272727,5.7272727272727275,13.409090909090908,0.09090909090909091,0.18181818181818182,1.2272727272727273,0.13636363636363635,0.6818181818181818
92,1,9.947368421052632,3.263157894736842,13.0,22.94736842105263,0.15789473684210525,0.21052631578947367,0.0,4.526315789473684,0.5263157894736842,4.157894736842105,6.052631578947368,2.473684210526316,1.368421052631579,0.631578947368421,0.21052631578947367,9.789473684210526,12.947368421052632,0.05263157894736842,0.15789473684210525,1.1578947368421053,1.2105263157894737,0.8421052631578947
94,1,14.35,5.75,7.35,21.7,0.3,0.3,0.0,2.7,2.15,4.2,1.8,3.6,0.9,0.85,0.15,6.2,15.5,0.15,0.2,1.55,0.15,0.3
95,1,11.578947368421053,3.1052631578947367,11.105263157894736,22.68421052631579,0.2631578947368421,0.15789473684210525,0.05263157894736842,2.8421052631578947,0.8421052631578947,3.5789473684210527,5.0,3.789473684210526,1.2105263157894737,0.7368421052631579,0.2631578947368421,10.789473684210526,11.421052631578947,0.0,0.2631578947368421,1.7894736842105263,0.05263157894736842,0.9473684210526315
96,1,16.095238095238095,4.428571428571429,4.333333333333333,20.428571428571427,0.09523809523809523,0.2857142857142857,0.0,1.7619047619047619,4.476190476190476,3.0952380952380953,0.8571428571428571,2.5714285714285716,0.7619047619047619,0.5714285714285714,0.047619047619047616,5.285714285714286,13.857142857142858,0.09523809523809523,0.09523809523809523,1.380952380952381,2.6666666666666665,0.7142857142857143
97,1,10.952380952380953,3.5238095238095237,9.380952380952381,20.333333333333332,0.42857142857142855,0.42857142857142855,0.0,5.0,0.9523809523809523,4.380952380952381,5.095238095238095,3.3333333333333335,0.8095238095238095,1.2857142857142858,0.09523809523809523,10.80952380952381,9.619047619047619,0.3333333333333333,0.47619047619047616,1.4285714285714286,0.2857142857142857,0.7142857142857143
98,1,11.333333333333334,3.4,17.133333333333333,28.466666666666665,0.26666666666666666,0.3333333333333333,0.0,4.866666666666666,0.9333333333333333,4.2,6.6,2.8,1.4,0.9333333333333333,0.26666666666666666,12.666666666666666,16.266666666666666,0.0,0.2,1.1333333333333333,0.06666666666666667,0.6
