,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
352,1,7.0,5.333333333333333,4.533333333333333,11.533333333333333,0.2,0.0,0.0,1.3333333333333333,2.2,0.9333333333333333,0.06666666666666667,1.8,0.4666666666666667,0.5333333333333333,0.0,4.4,7.866666666666666,0.8,0.0,4.066666666666666,0.06666666666666667,0.13333333333333333
353,1,8.0625,4.375,2.6875,10.75,2.0,1.5,0.0,1.375,0.0625,1.8125,0.0625,1.75,0.75,0.6875,0.1875,4.5625,6.3125,0.8125,2.4375,1.75,0.0625,0.8125
354,1,7.416666666666667,3.4166666666666665,6.916666666666667,14.333333333333334,1.3333333333333333,0.6666666666666666,7.5,2.25,0.0,2.25,2.0,2.75,1.1666666666666667,1.5833333333333333,0.08333333333333333,9.666666666666666,4.75,2.0833333333333335,1.0833333333333333,3.0,0.0,0.75
355,1,11.363636363636363,4.2727272727272725,4.2727272727272725,15.636363636363637,0.09090909090909091,0.0,0.0,1.8181818181818181,3.3636363636363638,2.3636363636363638,0.36363636363636365,2.909090909090909,0.7272727272727273,0.36363636363636365,0.0,4.7272727272727275,9.545454545454545,0.0,0.09090909090909091,1.7272727272727273,1.7272727272727273,0.18181818181818182
356,1,8.785714285714286,4.571428571428571,3.4285714285714284,12.214285714285714,0.07142857142857142,0.0,0.0,1.5,3.0,1.5,0.21428571428571427,1.8571428571428572,0.35714285714285715,0.7857142857142857,0.0,3.7142857142857144,7.928571428571429,0.21428571428571427,0.0,3.142857142857143,1.1428571428571428,0.0
357,1,7.818181818181818,1.8181818181818181,7.545454545454546,15.363636363636363,0.2727272727272727,0.18181818181818182,0.0,2.1818181818181817,0.9090909090909091,3.0,2.909090909090909,3.6363636363636362,0.7272727272727273,1.0,0.0,8.545454545454545,7.454545454545454,0.0,0.0,1.2727272727272727,0.18181818181818182,0.09090909090909091
358,1,7.733333333333333,4.8,3.466666666666667,11.2,2.466666666666667,1.0,0.26666666666666666,1.0666666666666667,0.06666666666666667,1.3333333333333333,0.26666666666666666,2.2,1.1333333333333333,0.9333333333333333,0.2,5.6,5.6,1.5333333333333334,2.3333333333333335,2.2666666666666666,0.06666666666666667,0.4666666666666667
359,1,7.352941176470588,5.529411764705882,2.5294117647058822,9.882352941176471,0.0,0.0,0.0,1.0588235294117647,1.7058823529411764,0.23529411764705882,0.17647058823529413,1.588235294117647,0.6470588235294118,0.7647058823529411,0.0,3.2941176470588234,6.882352941176471,0.8235294117647058,0.0,5.411764705882353,0.058823529411764705,0.0
360,1,6.647058823529412,4.411764705882353,3.176470588235294,9.823529411764707,1.9411764705882353,0.8235294117647058,0.11764705882352941,1.8235294117647058,0.0,2.411764705882353,0.35294117647058826,2.411764705882353,0.6470588235294118,1.1764705882352942,0.11764705882352941,5.0,5.352941176470588,1.411764705882353,1.8823529411764706,2.2941176470588234,0.0,0.47058823529411764
361,1,8.75,4.333333333333333,5.166666666666667,13.916666666666666,0.0,0.0,0.0,1.75,3.75,0.75,0.08333333333333333,1.8333333333333333,0.25,0.5,0.0,4.5,7.75,0.25,0.0,2.9166666666666665,0.0,0.0
362,1,12.666666666666666,3.4444444444444446,5.666666666666667,18.333333333333332,1.3333333333333333,0.7777777777777778,0.0,1.6666666666666667,0.2222222222222222,4.444444444444445,2.888888888888889,3.888888888888889,0.4444444444444444,1.5555555555555556,0.2222222222222222,8.333333333333334,10.777777777777779,0.4444444444444444,0.6666666666666666,1.2222222222222223,0.2222222222222222,0.4444444444444444
363,1,5.5,3.4444444444444446,3.6666666666666665,9.166666666666666,0.16666666666666666,0.05555555555555555,0.2222222222222222,1.2222222222222223,2.388888888888889,0.6666666666666666,0.05555555555555555,1.9444444444444444,0.6111111111111112,0.6111111111111112,0.0,3.5,5.888888888888889,0.6111111111111112,0.1111111111111111,6.388888888888889,0.0,0.16666666666666666
